,tipo_de_contrato,valor_del_contrato,numero_de_contratos,porcentaje
0,Otro,3055777027110,400,7.58%
1,Prestación de servicios,346155476117,4736,89.75%
2,Consultoría,34234125762,51,0.97%
3,Compraventa,19682283702,43,0.81%
4,Obra,17261326028,2,0.04%
5,Suministros,10482546286,12,0.23%
6,Arrendamiento de inmuebles,7820604934,19,0.36%
7,Seguros,5266525151,10,0.19%
8,Arrendamiento de muebles,154024500,1,0.02%
9,Servicios financieros,24800000,1,0.02%
10,No Especificado,9866662,1,0.02%
11,Comodato,0,1,0.02%
