,ciudad,tipo_de_contrato,estado_contrato,modalidad_de_contratacion,fecha_de_firma,fecha_de_inicio_del_contrato,fecha_de_fin_del_contrato,valor_del_contrato
0,Bogotá,Prestación de servicios,Modificado,Contratación directa,2023-01-24T09:01:27.000,2023-01-25T00:00:00.000,2023-05-24T00:00:00.000,37724000
1,Bogotá,Prestación de servicios,terminado,Mínima cuantía,2022-11-04T16:11:30.000,2022-11-08T00:00:00.000,2022-12-03T00:00:00.000,10766644
2,Bogotá,Prestación de servicios,Modificado,Contratación directa,2023-01-20T21:01:03.000,2023-01-23T00:00:00.000,2023-07-22T00:00:00.000,90000000
3,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2021-02-05T22:02:27.000,2021-02-08T00:00:00.000,2021-12-31T00:00:00.000,77217773
4,Bogotá,Prestación de servicios,Cerrado,Contratación directa,2022-01-26T23:01:54.000,2022-01-28T00:00:00.000,2022-12-31T00:00:00.000,31359998
5,Bogotá,Prestación de servicios,cedido,Contratación directa,2022-01-26T23:01:40.000,2022-01-31T00:00:00.000,2022-12-31T00:00:00.000,42358528
6,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2021-01-28T20:01:54.000,2021-01-28T00:00:00.000,2021-12-24T00:00:00.000,101241162
7,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2021-06-09T10:06:58.000,2021-06-10T00:00:00.000,2021-12-21T00:00:00.000,115937973
8,Bogotá,Otro,En ejecución,Contratación régimen especial,2020-09-03T14:09:10.000,2020-09-07T00:00:00.000,2020-12-31T00:00:00.000,50000000
9,Bogotá,Prestación de servicios,En ejecución,Contratación directa,2023-05-18T10:05:56.000,2023-05-18T00:00:00.000,2023-12-31T00:00:00.000,64143814
10,Bogotá,Prestación de servicios,Modificado,Contratación directa,2023-01-12T21:01:10.000,2023-01-13T00:00:00.000,2023-05-12T00:00:00.000,34351128
11,Bogotá,Prestación de servicios,cedido,Contratación directa,2021-01-26T19:01:20.000,2021-01-27T00:00:00.000,2021-12-31T00:00:00.000,74761983
12,Bogotá,Prestación de servicios,Modificado,Contratación directa,2023-02-03T14:02:24.000,2023-02-06T00:00:00.000,2023-06-05T00:00:00.000,38280000
13,Bogotá,Prestación de servicios,Modificado,Contratación directa,2021-01-19T19:01:17.000,2021-01-20T00:00:00.000,2021-12-31T00:00:00.000,100685115
14,Bogotá,Prestación de servicios,Cerrado,Contratación directa,2022-01-25T19:01:21.000,2022-01-27T00:00:00.000,2022-12-31T00:00:00.000,62086723
15,Bogotá,Prestación de servicios,Activo,Contratación directa,2020-01-29T10:01:46.000,2020-01-07T00:00:00.000,2020-12-31T00:00:00.000,75614023
